 10.03.89 MALAWI           6.8  147.    6.4  155.    577           66.  1
 02.03.89 DOMIN. REPUB.    6.8  271.    6.1  275.     88           70.  2
 09.03.89 MALAWI           6.8  146.    6.4  155.    577           66.  2
 11.04.89 KURILE I REG     4.9   23.    5.6   21.    222 C3        77.  2
 03.05.89 SZECHUWA         6.0   76.    6.3   71.    307           67.  2
 09.05.89 CANARI ISL. REG  9.2  234.    8.9  234.    394           30.  2
 12.06.89 BANGALADESH      5.7   93.    6.4   84.    316           66.  2
 07.12.88 TURKEY/USSR B.  10.6  105.     9.3   98.    367           25.  2
 10.12.88 RED SEA          8.7  122.    8.2  133.    554           41.  2
 22.09.85 N.ATL.RIDEG      7.1  251.0   7.0  251.0   403           58.5
 17.06.86 M. IND. RISE     5.9  129.0   5.0  128.0   429           85.9
 24.06.86 N. ASC. ISL      7.3  214.0   7.2  216.0   407           55.5
 18.07.86 SAMBIA           6.6  160.0   6.3  162.0   576           67.5
 13.10.88 E. SIBERIA       5.7   15.0   6.3   11.0   671 C4        67.6
 05.08.89 NEW SIB. ISL.    7.0   12.0   7.6   15.0   668           49.3
 20.08.89 ETHIOPIA         8.2  126.0   7.9  136.0   558           45.3
 03.10.89 E. SEV. ZEM.     7.6   11.0   8.0   13.0   654           44.5
 18.10.89 C. CALIF.        4.5  328.0   5.1  324.0    39           84.2
 21.10.89 CHAG. ARCH. R.   7.1  120.0   5.9  119.0   426           73.8
 15.11.89 C. MID. AT. R.   7.1  215.0   7.1  218.0   406           56.8
 17.11.89 E. SEV. ZEM      7.6   12.0   7.9   13.0   654           44.6
 25.12.89 N. QUEBEC        7.9  312.0   7.8  317.0   443           46.5
 00.00.00 CEN. SIBERIA     7.1   39.8   7.8   42.0   726           00.0
 01.09.91 GREENL.SEA       8.8  358.0   9.0  357.0   640           29.5
 02.09.91 HOKKAIDO         4.8   36.2   5.5   34.3   224           79.1
 04.09.91 LUZON            4.5   69.7   4.7   65.8   249           90.4
 12.09.91 L.BAYKAL R.      6.6   44.0   7.1   43.2   327           56.2
 17.09.91 C.CALIFORNIA     4.4  327.9   5.1  323.1    39           85.1
 18.09.91 GUATEMALA        5.3  280.5   4.9  288.6    70           86.7
 08.10.91 KURIL I.         4.9   31.5   5.5   28.8   221           78.3
 09.10.91 UGANDA           7.5  151.6   7.5  153.7   568           50.7
 19.10.91 N. INDIA         6.6   92.9   7.3   84.2   308           53.1
 25.10.91 HOKKAIDO I.      4.8   34.1   5.5   32.9   224           78.7
 26.12.91 E C.KAMCHATKA    5.4   21.0   5.9   17.0   218           73.5
 27.12.91 RUS.-MONG.B.R.   6.7   55.8   7.4   52.9   333           52.3
 02.01.92 VANCOUV.I.R.     5.1  344.0   5.7  334.3    25           76.2
 02.01.92 COLOMBIA         5.7  263.5   5.2  269.9   103           82.5
 04.01.92 NW-TER.CAN.      7.3  329.7   7.5  330.5   679           51.3
 12.01.92 GANSU,CHINA      6.4   68.2   6.9   63.6   322           59.4
 20.01.92 BONIN I.R.       4.4   52.2   4.7   44.0   212           90.0
 17.02.92 E S.ZEMLYA       7.5   12.7   7.9   14.0   654           45.7
 15.04.92 BUR.-IND.B.R.    5.8   86.0   6.3   78.2   294           67.9
 26.04 92 C OF N-CALIF.    4.7  334.5   5.3  327.5    35           82.2
 24.08.92 HOKKAIDO         4.9   38.9   5.5   36.0   224           78.5
 28.08.92 N ASCENS.I.      7.7  212.1   7.2  210.9   407           54.8
 11.09.92 ZAIRE            7.2  159.3   7.1  161.6   567           57.1
 30.10.92 MOROCCO         10.4  215.5  10.5  218.3   395           21.8
 27.04.93 *CHAGOS A.R.     7.2  120.4   5.9  119.1   426           73.8
 29.04.93 *W ARIZONA       5.0  314.9   5.3  316.5    42 A4        81.4
 02.05.93 *S ATL.RIDGE     6.6  205.9   6.1  206.0   410           70.5
 16.05.93 *OKHOTSK SEA     5.2   35.1   5.7   30.4   663           76.0
 29.05.93 *N ATL.OCEAN     8.0  236.9   8.1  238.2   402           42.9
 02.07.93 *J.MAYEN I.      8.7  341.8   9.5  342.7   639           24.3
 03.08.93 *E.ARAB.PENIN.   9.4  121.4   9.2  130.8   553           27.5
 10.08.93 *N C.GREENL.     8.5  354.3   8.6  352.3   635           35.3
 10.02.90 6 RAT ISLANDS,   4.94  13.1   5.54   8.3
 19.12.90 219 OFF EAST CO  4.91  16.1   5.80  18.6
 23.01.91 6 RAT ISLANDS,   4.88  12.4   5.54   7.8
 07.02.91 5 NEAR ISLANDS,  5.03  15.5   5.58  10.7
 17.01.92 219 OFF EAST CO  5.13  20.8   5.84  19.1
 12.03.92 5 NEAR ISLANDS,  5.02  14.3   5.71  12.4
 10.06.93 219 OFF EAST CO  5.03  19.4   5.75  20.1
 10.06.93 219 OFF EAST CO  5.08  21.3   5.74  20.1
