GRA1        +49.69188770  +11.22172020   1  -21.923    +37.862   !Graefenberg, F.R.G.
PRU          49.990   14.540  0  0.00  0.00                                       
PRA          50.070   14.430  0  0.00  0.00                                       
ALG          36.770    3.060  0  0.00  0.00                                       
RAV          47.780    9.610  0  0.00  0.00                                       
MSS          48.180    8.970  0  0.00  0.00                                       
BUH          48.670    8.230  0  0.00  0.00                                       
KRL          49.010    8.410  0  0.00  0.00                                       
HEI          49.400    8.730  0  0.00  0.00                                       
LUX          49.600    6.130  0  0.00  0.00                                       
BNS          50.960    7.170  0  0.00  0.00                                       
BAB          30.120   -2.190  0  0.00  0.00                                       
TAS          41.320   69.290  0  0.00  0.00                                       
UCC          50.800    4.360  0  0.00  0.00      !Uccle, Belgium
WIT          52.810    6.670  0  0.00  0.00                                       
DBN          52.100    5.180  0  0.00  0.00                                       
WRS          34.150   71.420  0  0.00  0.00                                       
MFP           3.340    8.660  0  0.00  0.00                                       
RBA          34.010   -6.840  0  0.00  0.00                                       
FRU          42.830   74.620  0  0.00  0.00                                       
LHN          61.050   10.880  0  0.00  0.00                                       
DUR          54.770   -1.580  0  0.00  0.00                                       
HYB          17.420   78.550  0  0.00  0.00                                       
TAN         -18.920   47.550  0  0.00  0.00                                       
IRK          52.270  104.310  0  0.00  0.00                                       
NOR          81.600  -16.680  0  0.00  0.00                                       
TIK          71.630  128.870  0  0.00  0.00                                       
PLV          20.800  106.630  0  0.00  0.00                                       
STJ          47.570  -52.730  0  0.00  0.00      !Saint John, Canada
FBC          63.730  -68.470  0  0.00  0.00                                       
RES          74.690  -94.900  0  0.00  0.00                                       
HAL          44.640  -63.590  0  0.00  0.00      !Halifax, Canada
VLA          43.120  131.890  0  0.00  0.00                                       
YSS          47.020  142.720  0  0.00  0.00                                       
MNT          45.500  -73.620  0  0.00  0.00                                       
INK          68.290 -133.500  0  0.00  0.00                                       
SUD          46.470  -80.970  0  0.00  0.00                                       
PET          53.020  158.650  0  0.00  0.00                                       
TNN          65.260 -151.910  0  0.00  0.00                                       
PJD          65.030 -147.510  0  0.00  0.00                                       
MRG          39.630  -79.950  0  0.00  0.00                                       
