PDE-W 2002 1024215343.19    6.03   94.42  64         6.20 mb GS   3F.G .......
PDE-W 2002 1030162634.18  -25.32 -175.64  10         5.80 mb GS   ...G .......
PDE-W 2002 1031013516.67   -3.44  148.64  10         6.10 MwHRV   ...G .......
PDE-W 2002 1031103258.77   41.79   14.87  10         5.90 MwGS    .C.G ......M
PDE-W 2002 1101150900.81   41.73   14.88  10         5.80 MwGS    ...G .......
PDE-W 2002 1102012610.70    2.82   96.08  30         7.60 Ms GS   6C.G .......
PDE-W 2002 1102044742.20   12.70   92.86  33         5.80 mb GS   .F.. .......
PDE-W 2002 1102094646.70    2.95   96.39  27         6.40 Ms GS   ..FG .......
PDE-W 2002 1103014925      51.31 -131.12  10         5.60 mb GS   .... .......
PDE-W 2002 1103033742.07   38.89  141.98  39         6.40 MwGS    3F.G .......
PDE-W 2002 1103221241      63.52 -147.44   4         8.50 Ms GS   9C.G F.S...M
PDE-W 2002 1103223217.58   63.31 -145.63   3         6.00 MLPMR   4F.. .......
PDE-W 2002 1103225045.28   63.41 -145.07   5         5.50 MLPMR   5F.. .......
PDE-W 2002 1104005043.86   63.31 -145.11   0         5.50 MLPMR   .... .......
PDE-W 2002 1104031918.38   -5.53   36.03  10         5.50 mb GS   .... .......
PDE-W 2002 1107151406.76   51.20  179.33  33         6.60 MwHRV   ...G .......
PDE-W 2002 1108040417.56   62.22 -141.82   1         5.50 MLPMR   .F.. .......
PDE-W 2002 1108173452.45   63.48 -148.26   5         5.50 mb GS   4F.. .......
PDE-W 2002 1109001418.08   13.74  -91.19  33         6.00 MwHRV   .F.G .......
PDE-W 2002 1109052925.96   -2.62   68.00  10         5.70 MwHRV   ...G .......
PDE-W 2002 1111163902.32  -23.31 -179.90 539         5.70 MwGS    ...G .......
PDE-W 2002 1112014648.94  -56.55  -27.54 120         6.30 MwHRV   ...G .......
PDE-W 2002 1113155309.14    3.01   96.09  39         5.50 Ms GS   ...G .......
PDE-W 2002 1115130536.96  -55.72  -35.78  10         5.80 mb GS   ...G .......
PDE-W 2002 1115195831.78  -56.05  -36.40  10         6.70 MwHRV   ...G .......
PDE-W 2002 1116120625.17   50.38  156.56  96         5.60 MwGS    ...G .......
PDE-W 2002 1117025837.47  -23.53 -175.61  10         5.50 MwGS    ...G .......
PDE-W 2002 1117045348.46   47.95  146.42 470         5.80 mb GS   .... .......
PDE-W 2002 1117045353.54   47.82  146.21 459         7.30 MwGS    4F.G .......
PDE-W 2002 1118225156.49   -4.21  102.18  33         5.50 mb GS   4F.. .......
PDE-W 2002 1120213230.81   35.41   74.51  33         6.50 Ms GS   .C.G ......S
PDE-W 2002 1126004815.04   51.47 -173.54  20         6.10 MwHRV   4F.G .......
PDE-W 2002 1127013506.29   54.67 -160.74  33         5.60 MLPMR   4F.. .......
PDE-W 2002 1127164317.53  -14.49  167.83  33         5.90 MwGS    .C.G ......S
